TYPE,LATITUDE,LONGITUDE
INJURY,52.13336,-106.69603
INJURY,52.12617,-106.69028
INJURY,52.08344,-106.60464
INJURY,52.12009,-106.5397
INJURY,52.1502168,-106.6131796
INJURY,52.1299487,-106.6707134
INJURY,52.1215316,-106.7409976
INJURY,52.1698957,-106.670294
INJURY,52.1292578,-106.6782118
INJURY,52.1372334,-106.7517804
INJURY,52.1147834,-106.6260818
INJURY,52.1514005,-106.7159681
INJURY,52.0893916,-106.6703948
INJURY,52.2021642,-106.6227871
INJURY,52.0987695,-106.6480711
INJURY,52.12929,-106.6993
INJURY,52.1491663,-106.5878988
INJURY,52.1228089,-106.6464599
INJURY,52.12657,-106.66116
INJURY,52.1182737,-106.669079
INJURY,52.12839,-106.65748
INJURY,52.1580161,-106.6512531
INJURY,52.0978,-106.58588
INJURY,52.0862116,-106.6297136
INJURY,52.1745513,-106.6702509
INJURY,52.1539,-106.70302
INJURY,52.11858,-106.70578
INJURY,52.17298,-106.66485
INJURY,52.1438565,-106.674683
INJURY,52.10021,-106.65675
INJURY,52.1029453,-106.5673768
INJURY,52.1530885,-106.630591
INJURY,52.1158,-106.59149
INJURY,52.1578687,-106.6731915
INJURY,52.13194,-106.72546
INJURY,52.1438687,-106.6989736
INJURY,52.1438538,-106.6849719
INJURY,52.10295,-106.56738
INJURY,52.1578687,-106.6731915
INJURY,52.1578687,-106.6731915
INJURY,52.1318246,-106.7611531
INJURY,52.14787,-106.55938
INJURY,52.1462361,-106.5656228
INJURY,52.1302373,-106.6858168
INJURY,52.1728855,-106.7001814
INJURY,52.1570145,-106.701477
INJURY,52.1302169,-106.6491145
INJURY,52.0874676,-106.6428669
INJURY,52.1578687,-106.6731915
INJURY,52.1198,-106.65593
INJURY,52.1582685,-106.70056
INJURY,52.12712,-106.76141
INJURY,52.149685,-106.6152506
INJURY,52.12935,-106.60772
INJURY,52.1645776,-106.6559117
INJURY,52.10392,-106.62269
INJURY,52.129381,-106.7214335
INJURY,52.1446782,-106.6424728
INJURY,52.1444799,-106.5529192
INJURY,52.0893389,-106.622675
INJURY,52.1302997,-106.6534715
INJURY,52.12888,-106.6347035
INJURY,52.11559,-106.62526
INJURY,52.1149779,-106.6470477
INJURY,52.17264,-106.63465
INJURY,52.1578687,-106.6731915
INJURY,52.1050553,-106.6096363
INJURY,52.1029453,-106.5673768
INJURY,52.157868,-106.6707062
INJURY,52.1023268,-106.6059753
INJURY,52.16426,-106.56492
INJURY,52.1492936,-106.6698151
INJURY,52.1570236,-106.7014628
INJURY,52.1234301,-106.5993715
INJURY,52.1647339,-106.5742408
INJURY,52.1428941,-106.5989142
INJURY,52.140987,-106.6582223
INJURY,52.12849,-106.60183
INJURY,52.12849,-106.60183
INJURY,52.15498,-106.68484
INJURY,52.1260991,-106.6701603
INJURY,52.1807651,-106.6331537
INJURY,52.1147763,-106.6108774
INJURY,52.11408,-106.60698
INJURY,52.1924312,-106.6890615
INJURY,52.1147761,-106.6226931
INJURY,52.1147722,-106.6197134
INJURY,52.0864481,-106.6411801
INJURY,52.0791331,-106.616803
